"","PassengerId","Pclass","Sex","Zona","FamilyCat","Price_Per_Person","PriceCat","Age_imp","title","Embarked","AgeCat","Survived"
"1",1,"3","male","Desconeguda","petita",3.625,"baix",22,"Mr","S","adults","0"
"2",2,"1","female","C","petita",35.64165,"alt",38,"Mrs","C","adults","1"
"3",3,"3","female","Desconeguda","sol",7.925,"baix",26,"Miss","S","adults","1"
"4",4,"1","female","C","petita",26.55,"alt",35,"Mrs","S","adults","1"
"5",5,"3","male","Desconeguda","sol",8.05,"baix",35,"Mr","S","adults","0"
"6",6,"3","male","Desconeguda","sol",8.4583,"baix",26,"Mr","Q","adults","0"
"7",7,"1","male","E","sol",51.8625,"alt",54,"Mr","S","adults","0"
"8",8,"3","male","Desconeguda","moderada",4.215,"baix",2,"Master","S","nens","0"
"9",9,"3","female","Desconeguda","petita",3.7111,"baix",27,"Mrs","S","adults","1"
"10",10,"2","female","Desconeguda","petita",15.0354,"mig",14,"Mrs","C","adolescents","1"
"11",11,"3","female","G","petita",5.56666666666667,"baix",4,"Miss","S","nens","1"
"12",12,"1","female","C","sol",26.55,"alt",58,"Miss","S","ancians","1"
"13",13,"3","male","Desconeguda","sol",8.05,"baix",20,"Mr","S","adults","0"
"14",14,"3","male","Desconeguda","gran",4.46785714285714,"baix",39,"Mr","S","adults","0"
"15",15,"3","female","Desconeguda","sol",7.8542,"baix",14,"Miss","S","adolescents","0"
"16",16,"2","female","Desconeguda","sol",16,"mig",55,"Mrs","S","adults","1"
"17",17,"3","male","Desconeguda","moderada",4.85416666666667,"baix",2,"Master","Q","nens","0"
"18",18,"2","male","Desconeguda","sol",13,"mig",30,"Mr","S","adults","1"
"19",19,"3","female","Desconeguda","petita",9,"baix",31,"Mrs","S","adults","0"
"20",20,"3","female","Desconeguda","sol",7.225,"baix",22,"Mrs","C","adults","1"
"21",21,"2","male","Desconeguda","sol",26,"alt",35,"Mr","S","adults","0"
"22",22,"2","male","D","sol",13,"mig",34,"Mr","S","adults","1"
"23",23,"3","female","Desconeguda","sol",8.0292,"baix",15,"Miss","Q","adolescents","1"
"24",24,"1","male","A","sol",35.5,"alt",28,"Mr","S","adults","1"
"25",25,"3","female","Desconeguda","moderada",4.215,"baix",8,"Miss","S","nens","0"
"26",26,"3","female","Desconeguda","gran",4.48392857142857,"baix",38,"Mrs","S","adults","1"
"27",27,"3","male","Desconeguda","sol",7.225,"baix",26,"Mr","C","adults","0"
"28",28,"1","male","C","moderada",43.8333333333333,"alt",19,"Mr","S","adults","0"
"29",29,"3","female","Desconeguda","sol",7.8792,"baix",22,"Miss","Q","adults","1"
"30",30,"3","male","Desconeguda","sol",7.8958,"baix",26,"Mr","S","adults","0"
"31",31,"1","male","Desconeguda","sol",27.7208,"alt",40,"noble","C","adults","0"
"32",32,"1","female","B","petita",73.2604,"alt",35,"Mrs","C","adults","1"
"33",33,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"34",34,"2","male","Desconeguda","sol",10.5,"mig",66,"Mr","S","ancians","0"
"35",35,"1","male","Desconeguda","petita",41.0854,"alt",28,"Mr","C","adults","0"
"36",36,"1","male","Desconeguda","petita",26,"alt",42,"Mr","S","adults","0"
"37",37,"3","male","Desconeguda","sol",7.2292,"baix",26,"Mr","C","adults","1"
"38",38,"3","male","Desconeguda","sol",8.05,"baix",21,"Mr","S","adults","0"
"39",39,"3","female","Desconeguda","petita",6,"baix",18,"Miss","S","adolescents","0"
"40",40,"3","female","Desconeguda","petita",5.62085,"baix",14,"Miss","C","adolescents","1"
"41",41,"3","female","Desconeguda","petita",4.7375,"baix",40,"Mrs","S","adults","0"
"42",42,"2","female","Desconeguda","petita",10.5,"mig",27,"Mrs","S","adults","0"
"43",43,"3","male","Desconeguda","sol",7.8958,"baix",26,"Mr","C","adults","0"
"44",44,"2","female","Desconeguda","petita",10.3948,"mig",3,"Miss","C","nens","1"
"45",45,"3","female","Desconeguda","sol",7.8792,"baix",19,"Miss","Q","adults","1"
"46",46,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"47",47,"3","male","Desconeguda","petita",7.75,"baix",26,"Mr","Q","adults","0"
"48",48,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"49",49,"3","male","Desconeguda","petita",7.2264,"baix",26,"Mr","C","adults","0"
"50",50,"3","female","Desconeguda","petita",8.9,"baix",18,"Mrs","S","adolescents","0"
"51",51,"3","male","Desconeguda","moderada",6.61458333333333,"baix",7,"Master","S","nens","0"
"52",52,"3","male","Desconeguda","sol",7.8,"baix",21,"Mr","S","adults","0"
